"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "Markdown", "JSON with Comments", "HTML", "comment", "blank", "total"
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/index.html", "HTML", 0, 0, 0, 0, 0, 23, 0, 3, 26
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/package.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 1, 37
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/readme.md", "Markdown", 0, 0, 0, 28, 0, 0, 0, 8, 36
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/App.jsx", "JavaScript JSX", 0, 81, 0, 0, 0, 0, 2, 8, 91
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/context/DarkModeContext.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 8, 44
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/data/Uploader.jsx", "JavaScript JSX", 0, 122, 0, 0, 0, 0, 10, 23, 155
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/data/data-bookings.js", "JavaScript", 276, 0, 0, 0, 0, 0, 8, 10, 294
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/data/data-cabins.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 3, 79
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/data/data-guests.js", "JavaScript", 212, 0, 0, 0, 0, 0, 3, 3, 218
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/authentication/LoginForm.jsx", "JavaScript JSX", 0, 75, 0, 0, 0, 0, 2, 9, 86
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/authentication/Logout.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 4, 17
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/authentication/SignupForm.jsx", "JavaScript JSX", 0, 86, 0, 0, 0, 0, 2, 10, 98
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/authentication/UpdatePasswordForm.jsx", "JavaScript JSX", 0, 59, 0, 0, 0, 0, 0, 8, 67
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/authentication/UpdateUserDataForm.jsx", "JavaScript JSX", 0, 72, 0, 0, 0, 0, 1, 13, 86
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/authentication/UserAvatar.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 0, 6, 40
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/authentication/useLogin.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/authentication/useLogout.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/authentication/useSignup.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/authentication/useUpdateUser.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/authentication/useUser.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/bookings/BookingDataBox.jsx", "JavaScript JSX", 0, 167, 0, 0, 0, 0, 1, 20, 188
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/bookings/BookingDetail.jsx", "JavaScript JSX", 0, 86, 0, 0, 0, 0, 0, 17, 103
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/bookings/BookingRow.jsx", "JavaScript JSX", 0, 129, 0, 0, 0, 0, 0, 19, 148
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/bookings/BookingTable.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 9, 45
"/Users/williamsmith/Documents/GITHUB/Wildernests Portal/src/features/bookings/BookingTableOperations.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 0, 0, 4, 34
